price,propertyType,size,rooms,bathrooms,municipality,latitude,longitude,status,priceByArea,hasParkingSpace,isParkingSpaceIncludedInPrice,typology,subtitle,floor,exterior,hasLift
308500.0,flat,125.0,3,2,san fernando de henares,40.4248242,-3.5283238,good,2468.0,0,0,flat,montserrat - parque empresarial,intermedio,1,1
340000.0,flat,108.0,3,2,madrid,40.4461381,-3.599724,good,3148.0,1,1,flat,rejas,intermedio,1,1
249990.0,duplex,120.0,3,3,brunete,40.4053184,-3.9954288,good,2083.0,0,0,flat,brunete,intermedio,1,0
320000.0,flat,100.0,3,2,alcalá de henares,40.5027892,-3.3484395,newdevelopment,3200.0,1,1,flat,el pilar - bripac,mediano,1,1
195000.0,flat,47.0,1,1,alcalá de henares,40.5027892,-3.3484395,newdevelopment,4149.0,1,1,flat,el pilar - bripac,intermedio,1,1
348000.0,flat,97.0,3,2,alcalá de henares,40.5027892,-3.3484395,newdevelopment,3588.0,1,1,flat,el pilar - bripac,bajo,1,1
265000.0,flat,78.0,2,2,alcalá de henares,40.5027892,-3.3484395,newdevelopment,3397.0,1,1,flat,el pilar - bripac,intermedio,1,1
330000.0,flat,92.0,3,2,alcalá de henares,40.5027892,-3.3484395,newdevelopment,3587.0,1,1,flat,el pilar - bripac,mediano,1,1
295000.0,studio,50.0,0,1,madrid,40.4225112,-3.7120639,good,5900.0,0,0,flat,palacio,intermedio,1,1
599000.0,chalet,204.0,4,3,soto del real,40.7651476,-3.7833909,good,2936.0,0,0,chalet,soto del real,alto,1,0
185000.0,flat,75.0,2,1,valdemoro,40.1878335,-3.6835444,good,2467.0,1,1,flat,hispanoamérica - comunidades,en,1,1
195000.0,flat,70.0,3,1,madrid,40.3871032,-3.6552116,good,2786.0,0,0,flat,palomeras bajas,intermedio,1,1
185000.0,flat,95.0,3,1,madrid,40.3818487,-3.6098625,good,1947.0,0,0,flat,santa eugenia,intermedio,1,1
175000.0,flat,85.0,3,1,madrid,40.3952494,-3.6569252,good,2059.0,0,0,flat,numancia,intermedio,1,1
191000.0,flat,71.0,1,1,san sebastián de los reyes,40.5383713,-3.620429,good,2690.0,1,0,flat,vega de la moraleja,intermedio,1,1
599000.0,flat,128.0,3,2,madrid,40.414229,-3.7176841,renew,4680.0,0,0,flat,imperial,intermedio,1,1
595000.0,chalet,245.0,4,3,algete,40.6037088,-3.5015803,good,2429.0,1,1,chalet,algete,alto,1,0
265000.0,studio,45.0,0,1,madrid,40.4674219,-3.7926112,good,5889.0,1,0,flat,valdemarín,intermedio,1,1
169995.0,flat,85.0,3,1,madrid,40.3993163,-3.6597774,good,2000.0,0,0,flat,numancia,intermedio,1,1
160000.0,flat,70.0,2,1,madrid,40.3900522,-3.6474784,good,2286.0,0,0,flat,portazgo,intermedio,1,0
220000.0,chalet,189.0,4,2,cadalso de los vidrios,40.3004273,-4.4419389,good,1164.0,0,0,chalet,cadalso de los vidrios,alto,1,0
210000.0,flat,123.0,3,2,galapagar,40.578452,-4.001988,good,1707.0,0,0,flat,casa amarilla,intermedio,1,1
245000.0,countryhouse,138.0,1,0,brunete,40.3911984,-3.9997744,renew,1775.0,0,0,countryhouse,brunete,muy alto,1,0
543000.0,flat,147.0,3,2,getafe,40.3170789,-3.7304308,newdevelopment,3694.0,0,0,flat,el rosón - kelvinator,intermedio,1,1
140030.0,chalet,54.0,2,1,navas del rey,40.361918,-4.2806279,good,2593.0,0,0,chalet,navas del rey,alto,1,0
300000.0,chalet,89.0,1,1,pozuelo de alarcón,40.434284,-3.8178426,good,3371.0,0,0,chalet,zona pueblo,alto,1,0
319000.0,chalet,245.0,4,3,cubas de la sagra,40.193991,-3.8431503,good,1302.0,0,0,chalet,cubas de la sagra,alto,1,0
115000.0,flat,62.0,1,1,alcalá de henares,40.472732,-3.3801544,good,1855.0,0,0,flat,reyes católicos,flat,1,1
399900.0,penthouse,62.0,1,1,madrid,40.4503635,-3.7081061,newdevelopment,6450.0,0,0,flat,bellas vistas,intermedio,1,1
359900.0,penthouse,54.0,1,1,madrid,40.4503635,-3.7081061,newdevelopment,6665.0,0,0,flat,bellas vistas,intermedio,1,1
275000.0,flat,80.0,1,1,madrid,40.4574578,-3.7067943,good,3438.0,1,1,flat,berruguete,bajo,1,1
318500.0,penthouse,78.0,2,1,alcalá de henares,40.4857937,-3.3679625,newdevelopment,4083.0,1,1,flat,san isidro - los almendros,intermedio,1,1
204900.0,flat,95.0,5,2,alcalá de henares,40.4778306,-3.3768853,renew,2157.0,0,0,flat,reyes católicos,bajo,1,1
428000.0,flat,64.0,1,1,madrid,40.4760638,-3.7286061,newdevelopment,6688.0,0,0,flat,peñagrande,flat,0,1
259000.0,chalet,242.0,4,2,villamanta,40.2986681,-4.1199717,good,1070.0,1,1,chalet,villamanta,alto,1,0
195000.0,duplex,119.0,3,3,madrid,40.3900085,-3.6716394,good,1639.0,0,0,flat,san diego,bajo,1,1
149800.0,chalet,147.0,3,1,perales de tajuña,40.2363918,-3.3497744,good,1019.0,1,1,chalet,perales de tajuña,alto,1,0
235000.0,chalet,220.0,3,3,pelayos de la presa,40.3588183,-4.3344973,good,1068.0,1,1,chalet,pelayos de la presa,alto,1,0
239000.0,chalet,160.0,3,1,villavieja del lozoya,41.0072951,-3.6723905,good,1494.0,0,0,chalet,villavieja del lozoya,alto,1,0
189000.0,flat,89.0,3,1,madrid,40.3947156,-3.7243503,good,2124.0,0,0,flat,san isidro,intermedio,1,0
343700.0,flat,52.0,1,1,madrid,40.4537288,-3.7162626,newdevelopment,6610.0,0,0,flat,ciudad universitaria,intermedio,1,0
368245.0,chalet,111.0,3,2,fuente el saz de jarama,40.6347118,-3.5180269,good,3318.0,1,1,chalet,fuente el saz de jarama,alto,1,0
169900.0,flat,70.0,2,1,colmenarejo,40.5605994,-4.0163984,good,2427.0,1,1,flat,colmenarejo,intermedio,1,0
375000.0,flat,63.0,1,1,madrid,40.4133273,-3.7185606,renew,5952.0,0,0,flat,imperial,mediano,0,1
395000.0,chalet,251.0,4,3,navalcarnero,40.2808334,-4.0228583,good,1574.0,1,1,chalet,covadonga - los manzanos,alto,1,0
350000.0,flat,78.0,3,2,madrid,40.4754407,-3.638819,good,4487.0,0,0,flat,pinar del rey,mediano,1,1
290000.0,flat,128.0,3,2,coslada,40.427024,-3.5627489,good,2266.0,0,0,flat,coslada pueblo,intermedio,1,1
555000.0,flat,137.0,4,1,madrid,40.4121132,-3.7058091,good,4051.0,0,0,flat,lavapiés-embajadores,intermedio,1,1
189000.0,flat,86.0,3,1,madrid,40.373639,-3.7555025,good,2198.0,1,1,flat,buena vista,intermedio,0,0
